1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	<eps> PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP <eps> <eps> <eps>	_
19	INTJ ADV COSUB DET NMP AUX ADV ADV ADJMP NMS VPPMS PREP DET NFS PREP DET NMS PREFP AUX ADV PREP DET NFP PREP PROPN	INTJ ADV PINDMS DET NMP AUX ADV ADV ADJMS NMS VPPMS PREP DET NFS PREP DET NMS PREFP AUX ADV PREP DET NFP PREP VERB	_
20	DETMS ADJMS NMS PREP DETFS NFS ADJFS COCO PDEMMS AUX ADV ADV PREP NMS DINTMS NMS PREP PROPN COSUB DETMS NMS AUX VPPMS PPER3MS PPOBJMS VERB CHIF NMP COSUB PREFP VERB PPOBJMS VERB PREP PPOBJMP	<eps> ADJMS NMS PREP DETFS NFS ADJFS COCO PDEMMS AUX ADV ADV PREP NMS DINTMS NMS PREP PROPN COSUB DETMS NMS AUX VPPMS PPER3MS PPOBJMS VERB CHIF NMP COSUB PREFP VERB PPOBJMS VERB PREP PPOBJMP	_
21	PDEMMS AUX DINTMS NMS ADV ADV VPPMS COCO DET ADJFP NFP ADJFP AUX ADV ADV AUX VPPFP DET NFP PREP DET NFS	<eps> AUX DINTMS NMS ADV ADV VPPFS COCO DET ADJFP NFP VPPFP <eps> ADV ADV AUX VPPFP DET NFP PREP DET NFS	_
22	DET NMP ADV ADJMS AUX DINTFS NFS <eps> ADV ADJFS COCO ADV PREP ADV PREP NFS DINTMS NMS ADV PREP ADV ADJMS NMS DET ADJMP NMP PREL PREFP AUX VPPMS VERB	DET NMP ADV PDEMMS AUX DINTFS NFS AUX ADV ADJFS COCO ADV PREP ADV PREP NFS DINTMS NMS ADV PREP ADV ADJMS NMS DET ADJMP NMP PREL PREFP AUX VPPMS VERB	_
23	VERB ADV PREP DET NFS PREP DETFS DETFS NFS PREP VERB ADV PDEMMS NMS ADV VPPMS PREP DET NFP COCO ADV DET NFS PREP VERB ADV VERB PRON PREL PPER3MS VERB PREF VERB PREP DET ADJFP NFP PREP DET	<eps> ADV PREP DET NFS PREP DETFS DETFS NFS PREP VERB ADV PDEMMS NMS ADV VPPMS PREP DET NFP COCO ADV DET NFS PREP VERB ADV COSUB <eps> ADV PPER3MS VERB PREF VERB PREP DET ADJFP NFP PREP DET	_
24	ADJMP NMP COSUB ADV DETMS NMS VERB PREP NFS	DINTMS NMS COSUB ADV DETMS NMS VERB PREP NFS	_
25	PROPN XFAMIL PREP PROPN XFAMIL COCO PROPN XFAMIL XFAMIL DETFS PROPN PREFP PPOBJMS VERB AUX VPPMS DET NMP PREP DETMS NMS ADJMS ADV PREP CHIF CHIF NMP CHIF NMP ADJMP PREP NFS AUX PREP NFS NFS VPPFS PREP DETMS NMS PREP DET NMS PROPN XFAMIL	PROPN <eps> PREP PROPN XFAMIL COCO PROPN XFAMIL XFAMIL DETFS PROPN PREFP <eps> VERB VERB <eps> DET NMP PREP DETMS NMS ADJMS ADV PREP CHIF CHIF NMP CHIF NMP ADJMP PREP NFS AUX PREP NFS NFS VPPFS PREP DETMS NMS PREP DET NMS PROPN XFAMIL	_
26	PRON PREL PREF VERB PREP PROPN VERB PREFP VERB COCO ADV DINTMS NMS PREP DET PROPN PREL AUX	<eps> PREL PREF VERB PREP PROPN VERB PREFP VERB <eps> ADV DINTMS NMS PREP DET PROPN PREL AUX	_
27	PREP ADV VPPMS PREP DETFS NFS ADJFS COCO ADJFS ADV ADJFS AUX DINTFS NFS PREL PPER1S VERB ADV ADJFS COCO PREL AUX ADV AUX VPPFS PREP DET NMP ADV PREP NMS ADJMP	<eps> ADV VPPMP PREP DETFS NFS ADJFS COCO ADJFS ADV ADJFS AUX DINTFS NFS PREL PPER1S VERB ADV <eps> COCO PREL AUX ADV AUX VPPMS PREP DET NMP ADV PREP NMS ADJMS	_
28	PREP DET NFS ADV PDEMMS ADJMS NMS PREP NFS PREP DETFS NFS PROPN	PREP DET NFS ADV PDEMMS ADJMS NMS PREP NFS PREP DETFS NFS PROPN	_
29	CHIF NMP PREL DETFS NFS ADV ADJFS PROPN VPPFS PREP NFS ADJFS PREP DET NFS PREP NFS MOTINC MOTINC DET NMS AUX AUX ADV VPPMS PROPN PREP XFAMIL	CHIF NMP PREL DETFS NFS ADV ADJFS PROPN VERB PREP NFS ADJFS PREP DET NFS PREP NFS PROPN <eps> DET NMS AUX AUX ADV VPPMS PROPN PREP XFAMIL	_
30	AUX PDEMMS PREP NMS PREP DET PROPN DINTMS PROPN COCO DET NMP ADJ PREP VERB DET NMS PREP	<eps> PDEMMS ADV <eps> PREP DET PROPN DINTMS PROPN COCO DET NMP <eps> PREP VERB DET NMS PREP	_
31	ADJMS DET NFS PROPN XFAMIL AUX VPPMS ADV NMS DET NMP PREP NFP ADJFP	<eps> DET NFS PROPN XFAMIL AUX VPPMS ADV NMS DET NMP PREP NFS ADJFS	_
32	PREP NMS PPER3FS ADV VERB ADV PREP VERB DET NFS COSUB DETFS NFS PREF VERB	PREP NMS PPER3FS ADV VERB ADV PREP VERB DET NFP COSUB DETFS NFS PREF VERB	_
33	PDEMMS NMS ADV VERB ADV DET NMP	PDEMMS NMS ADV VERB ADV DET NMP	_
34	DET NFP ADJFP VERB ADJFP COCO PREP ADJFS NFS	<eps> NFP ADJFP VERB ADJFS COCO PREP ADJFS NFS	_
35	PDEMFS NFS ADV AUX ADV ADV DINTMS NMS ADJMS COCO PDEMMS ADV VERB ADV ADV PREP DET NMP	<eps> NFS ADV AUX ADV ADV DINTMS NMS ADJMS COCO PDEMMS ADV VERB ADV ADV PREP DET NMP	_
36	ADV COSUB PREFP AUX ADV VPPMS PREP DETMS NMS DET NFP ADJFP PREP DETFS NFS DET NFP PREP NFP PDEMFS NFS PREP NFS ADV AUX ADV VPPMS VERB NMS COCO PREP DINTMS NMS ADJMS AUX ADJMS	ADV COSUB PREFP AUX ADV VPPMS PREP DETMS NMS DET NFP ADJFP PREP DETFS NFS DET NFP PREP NFS PDEMFS NFS PREP NFS ADV AUX ADV VPPMS VERB NMS <eps> PREP DINTMS NMS ADJMS AUX ADJMS	_
37	ADJMS ADV COSUB DETFS NFS PREP DETFS NFS ADV PPOBJFS VERB ADV PREP VERB DET NMP PREP PREF VERB PROPN XFAMIL VERB COSUB PPER3MS AUX PREP ADV PREP ADV ADJMS COSUB DETFS PROPN VERB PREP DETFS NFS ADJFS COCO COSUB DET ADJMP NMP PREP NMS AUX ADJMP PREP DET PROPN COCO DET PROPN ADV	ADJMS ADV COSUB DETFS NFS PREP DETFS NFS ADV PPOBJFS VERB ADV PREP VERB DET NMP PREP PREF VERB PUNCT PDEMMS <eps> <eps> <eps> AUX PREP ADV PREP ADV ADJMS COSUB DETFS PROPN VERB PREP DETFS NFS ADJFS <eps> COSUB DET ADJMP NMP PREP NMS AUX ADJMS PREP DET PROPN COCO DET PROPN ADV	_
38	DET ADJMP NMP VERB PREP DET NMP DET ADV ADJMP	<eps> ADJMP NMP VERB PREP DET NMP DET ADV ADJMP	_
39	DETMS NMS COSUB PPER3MS PPOBJMS VERB DINTFS NFS PREP NFS ADJFS PREP DET PROPN PUNCT AUX ADV DETMS NMS PREP VERB COSUB COSUB DET NMP PREP DET PROPN AUX PREP DINTFS NFS ADV ADJFS COCO ADV PPER3MS PPOBJMS VERB DINTMS NMS PREP DET PROPN COCO COSUB PDEMMS NMS VERB VERB DETMS DET <eps> NFP ADJFP ADJFP	<eps> VPPMS COSUB PPER3MS PPOBJMS VERB DINTFS NFS PREP NFS ADJFS PREP DET PROPN PUNCT AUX ADV DETMS NMS PREP VERB COSUB COSUB DET NMP PREP DET PROPN AUX PREP <eps> NFS ADV ADJFS PUNCT ADV PPER3MS PPOBJMS VERB DINTMS NMS PREP DET PROPN COCO COSUB PDEMMS NMS VERB VERB DETMS NMS DET NFP ADJFP ADJFP	_
40	PREP DETMS NMS PREP PROPN VERB PREP DET NMP VPPMP PREP DET ADV ADJMP DETMS NMS DET NFP ADJMS VERB COSUB DET NMS VERB PREP AUX PPER1S VERB DET NFS PREP NFS PREP DETFS NFS PROPN	<eps> DETMS NMS PREP PROPN VERB PREP DET NMP VPPMP PREP DET ADV ADJMS DETMS NMS DET NFP ADJMS VERB COSUB DET NMS VERB PREP AUX PPER1S VERB DET NFS PREP NFS PREP DETFS NFS PROPN	_
41	DETFS NFS ADJFS PREP DETFS NFS PREP DINTFS NFS ADJFS PREP DET NMS DET NFP PREF VERB ADV PREP PROPN PREP DETMS NMS ADJMS PREL VERB DETFS NFS PREP CHIF CHIF NMP ADJMS AUX ADV ADV COSUB PREP NMS DET NMP DETMS NMS VERB PREF VERB PREP DET NFP PREP NMS PREP NMS	DETFS NFS ADJFS PREP DETFS NFS PREP DINTFS NFS ADJFS PREP DET NMS DET NFP PREF VERB ADV PREP PROPN PREP DETMS NMS ADJMS PREL VERB DETFS NFS PREP CHIF NMP NMP ADJMS AUX ADV ADV COSUB PREP NMS DET NMP DETMS NMS VERB PREF VERB PREP DET NFP PREP NMS PREP NMS	_
42	COCO PREP PDEMMS NMS DET NFS AUX ADV VPPMS PREP VERB PPOBJMS VERB PREP PROPN XFAMIL	<eps> PREP PDEMMS NMS DET NFS AUX ADV VPPMS PREP VERB PPOBJMS VERB PREP PROPN XFAMIL	_
43	DETMS NMS PREP PROPN DET NMP ADJ PROPN XFAMIL VERB PREP NMS DINTMS NMS ADJMS PREP PREF VERB PREP NMS PREP DETMS NMS PROPN DETMS NMS ADJMS DINTMS NMS ADJMS PROPN XFAMIL XFAMIL VERB PREP DET NMS COSUB DETMS NMS VERB PREP NMS PREP VERB	<eps> NMS PREP NFS DET NMP ADJ PROPN XFAMIL VERB PREP NMS DINTMS NMS ADJMS PREP PREF VERB PREP NMS PREP DETMS NMS PROPN DETMS NMS <eps> DINTMS NMS ADJMS PREP <eps> PROPN VERB PREP DET NMS COSUB DETMS NMS VERB PREP NMS PREP VERB	_
44	PREFP AUX VPPMP DET NMP ADJMP PREP NMS PROPN	<eps> AUX ADV DET NMP ADJMP PREP NMS PROPN	_
45	PDEMMS AUX ADV PREP AUX ADJMS PREP VERB DET NMP PREP VERB COSUB ADV PPER3MS AUX ADV NMS PREP DETFS NFS ADJFS COCO ADV PPER3MS AUX NMS PREP DETFS NFS PPER3MS PREF VERB ADV PREP PREFP VERB PPER1S VERB VERB PPER3MS VERB DET NMP PREP VERB	PDEMMS AUX ADV PREP PROPN <eps> PREP VERB DET NMP PREP NMS PREP NFS PPER3MS AUX ADV NMS PREP DETFS NFS ADJFS ADV ADV DET NMP <eps> PREP DETFS NFS PPER3MS PREF VERB ADV PREP PREFP VERB PPER1S VERB VERB PPER3MS VERB DET NMP PREP VERB	_
46	COSUB VERB PPER3MS VERB DET NMP PDEMMS ADV VERB ADV DET NFP PREP DET NMP VERB PDEMFS NFS	<eps> NMS PPER3MS VERB DET PREP PDEMMS ADV VERB ADV DET NFP PREP DET NMP VERB PDEMFS NFS	_
47	PREL AUX VPPMS DETMS ADJMS NMS PREP VERB DET NFP PREP VERB PPOBJMS ADV DET NMP PREP PROPN PDEMMS ADV VERB PDEMMS <eps> ADV PDEMMS ADV VERB PRON PREP NMS ADV DETFS ADJFS NFS PDEMMS AUX ADV VERB COSUB DET NMP PREP PROPN VERB ADV AUX ADV ADV ADV DETFS NFS ADJFS AUX ADV VPPFP PREFP	<eps> AUX VPPMS DETMS ADJMS NMS PREP VERB DET NFP PREP VERB PREP <eps> DET NMP PREP PROPN PDEMMS ADV VERB PDEMMS PDEMMS ADV PDEMMS ADV VERB PRON PREP NMS ADV DETFS ADJFS NFS PDEMMS AUX ADV VERB PROPN <eps> <eps> PREP PROPN VERB PDEMMS AUX ADV ADV ADV DETFS NFS ADJFS AUX ADV YPFOR <eps>	_
48	ADJFS NFS PREP PROPN XFAMIL PPER3MS AUX VPPMS DET NMP VPPMP PREP PROPN AUX VPPMS COSUB DETFS NFS DET NMP PREP DET NMS PREP PROPN PREP CHIF CHIF CHIF AUX ADJFS DET ADJMS NMS DINTMS NMS AUX VPPMS PREP PPOBJMS VERB PREP DET NFS PREP DET AUX VPPMP	ADJFS NFS PREP PROPN XFAMIL PPER3MS AUX VPPMS DET NMP VPPMP PREP PROPN AUX VPPMS COSUB DETFS NFS DET NMP PREP DET NMS PREP PROPN PREP CHIF NMP CHIF AUX ADJFS PREP ADJMS NMS DINTMS NMS AUX VPPMP PREP PPOBJMS VERB PREP DET NFS VERB <eps> <eps> <eps>	_
49	PDEMMS AUX ADJMS COSUB DET NMP PREP NFP AUX PREP NMP <eps> <eps> AUX DET NMP PREL PREFS VERB NFS ADV PDEMMS AUX ADV ADV DINTMS NMS AUX PREP NMS DINTMS NMS ADJMS	<eps> AUX ADJMS COSUB DET NMP PREP NFS PINDMS AUX VPPMS COSUB PRON AUX DET NMP PREL PREFS VERB NFS ADV PDEMMS AUX ADV ADV PUNCT PDEMMS AUX PREP NMS DINTMS NMS <eps>	_
50	PDEMMS AUX DETFS NFS PREP PRON PREL PPER1S VERB PREP CHIF NMP PDEMFS NFS AUX ADJFS ADV	PDEMMS AUX DETFS NFS PREP PRON PREL PPER1S VERB PREP CHIF NMP PDEMFS NFS AUX ADJFS ADV	_
51	COCO PREP DET NMS PREP DET NMS	COSUB PREP DET NMS PREP DET NMS	_
52	PDEMMP PREL AUX VPPMS DETMS NMS VERB ADV DINTFS ADJFS NFS ADJFS ADV ADJFS COCO PREP ADJMP NMP PREP VERB PREP PDEMMS AUX ADV ADV VERB PREP PREFS PREP PREFS VERB COSUB PDEMMS VERB ADV ADV ADV PREP DETFS NFS ADJFS COSUB PPER3FS AUX ADV VPPFS	PRON PREL AUX VPPMS DETMS NMS VERB ADV DINTFS ADJFS NFS ADJFS ADV ADJFS COCO PREP ADJMP NMP PREP VERB PREP PDEMMS AUX ADV ADV VERB PREP PREFS <eps> <eps> VERB COSUB PDEMMS VERB ADV ADV ADV PREP DETFS NFS ADJFS COSUB PPER3FS AUX ADV VPPMS	_
53	DINTMS NMS PREP DETFS NFS PREL AUX VPPMS CHIF NMP PREP DETFS NFS PREP DETMS NMS PREP PROPN DETMS NMS ADJMS COCO DET NMS PREP PRELMS PPER3MS AUX VERB DETFS NFS VERB PREP AUX VPPMP PREP DINTMS NMS ADJ PPER3MP AUX AUX VPPMP PREP PROPN	DINTMS NMS PREP DETFS NFS PREL AUX VPPMS CHIF NMP PREP DETFS NFS <eps> DETMS PROPN PREP PROPN DETMS NMS ADJMS AUX DET NMS PREP PRELMS PPER3MS AUX VERB DETFS NFS VERB PREP AUX VPPMS <eps> DINTMS NMS ADJ PPER3MP AUX AUX VPPMP PREP PROPN	_
54	PREP DET NMP PREP NFS PDEMMS AUX ADV <eps> COSUB DET NFP ADJFP PPOBJFP AUX VPPMP PREP DETFS PROPN	PREP DET NMP PREP NFS ADJFS AUX ADV ADV COSUB DET NFP ADJFP PPOBJFP AUX VPPMS PREP DETFS PROPN	_
55	CHIF CHIF ADJMP NMP PREP CHIF NMP PREP PROPN DET NMP PREP NMS PREP PROPN ADV DET NMS DET NMP PREF VERB DETMS PROPN	CHIF NMP ADJMP NMP PREP CHIF NMP PREP PROPN DET NMP PREP NMS PREP PROPN ADV DET NMS DET NMP ADV VERB DETMS PROPN	_
56	VERB ADV NFS DET NFP PREP NFS PREP DINTFS NFS ADV ADJ PREP NFS PREP DETFS ADJFS NFS ADJFS PINDMS PREF VERB PREP DINTFS NFS ADV VPPFS PREP PROPN COCO PROPN XFAMIL	VERB ADV NFS DET NFP PREP NFS PREP DINTFS NFS ADV ADJ PREP NFS PREP DETFS ADJFS NFS ADJFS PINDMS PREF VERB PREP DINTFS NFS ADV VPPMS PREP PROPN COCO ADJFS NFS	_
57	PREP PROPN PREP DETMS NMS DINTMS NMS ADJMS DET NMP ADJMP PREP PROPN <eps> XFAMIL XFAMIL COCO PROPN XFAMIL	<eps> PROPN PREP DETMS NMS DINTMS NMS ADJMP DET NMP ADJMP PREP PROPN XFAMIL XFAMIL XFAMIL COCO PROPN XFAMIL	_
58	PROPN XFAMIL XFAMIL PREP DETMS NMS PREP PROPN ADV DET NMP PREF AUX VPPMP PREP VERB DET NMP ADJMP PREP PDEMFS NFS	ADJFS NFS VPPMS PREP DETMS NMS PREP PROPN ADV DET NMP PREF AUX VPPFP PREP VERB DET NMP ADJMP PREP PDEMFS NFS	_
59	DETMS NMS VERB PREP NMS DET NMP DET NMP PREP PPOBJMP PREL VERB VERB NFS PREP ADV PREP CHIF NMP PREP NFS	DETMS NMS VERB PREP NMS DET NMP <eps> ADJMP PREP <eps> PREL VERB VERB NFS PREP ADV PREP CHIF NMP PREP NFS	_
60	DETMS NMS ADJMS AUX VPPMS DINTMS NMS ADJMS PREP NFS PREP NMS	DETMS NMS ADJMS AUX VPPMS DINTMS NMS ADJMS <eps> NFS VERB <eps>	_
61	PREP PDEMFS NFS PREFP VERB DET NFS	PREP PDEMFS NFS PREFP VERB DET NFS	_
62	DETMS NMS ADJMS AUX ADV ADJMS ADV PREP PROPN COCO DET CHIF NMP PREF VERB NFS PREP VERB DET NMP VERB DET NFS DET NMP ADV ADJMS PREP PDEMFS NFS PROPN AUX DETMS NMS PREP PROPN XFAMIL XFAMIL PREL AUX VPPMS	DETMS NMS ADJMS AUX ADV ADJMS ADV PREP PROPN COCO DET CHIF NMP PREF VERB NFS PREP VERB DET NMP VERB DET NFS DET NMP ADV ADJMS PREP PDEMFS NFS PROPN AUX DETMS NMS PREP PROPN XFAMIL XFAMIL PREL AUX VPPMS	_
63	ADV ADV DET NMP AUX ADJMP DET NMP PREP PDEMMS NMS PPOBJMS VERB PROPN XFAMIL AUX ADJMS PPER3MS VERB DINTMS NMS ADJMS ADJMS PREP PPOBJMS AUX VERB PROPN XFAMIL XFAMIL AUX DINTFS NFS PREP DETMS PROPN	ADV ADV DET NMP AUX ADJMP DET NMP PREP PDEMMS NMS PPOBJMS VERB PROPN <eps> AUX ADJMP PPER3MS VERB DINTMS NMS ADJMS <eps> PREP PPOBJMS AUX VERB PROPN XFAMIL XFAMIL AUX DINTFS NFS PREP DETMS PROPN	_
64	<eps> <eps> PDEMMS VERB DINTMS NMS PREP DETFS NFS PREP DETFS PROPN COCO DETMS PROPN PREL VERB PREP DET NFP PINDMS VERB PINDMS AUX CHIF NMP ADV DET NFS ADV VERB ADV AUX DINTFS NFS PREP VERB DETFS PROPN COCO PRON PREL PPER3MP VERB AUX DINTFS NFS PREP DINTMS NMS ADJMS	PROPN PUNCT PDEMMS VERB DINTMS NMS PREP DETFS NFS PREP DETFS PROPN COCO DETMS PROPN PREL VERB PREP DET NFP PINDMS VERB PINDMS AUX CHIF NMP ADV DET NFS ADV VERB ADV AUX DINTFS NFS PREP VERB DETFS PROPN AUX PRON PREL PPER3MP VERB AUX DINTFS NFS PREP DINTMS NMS ADJMS	_
65	COCO DET NMP VERB PDEMFS NFS	<eps> DET NMP VERB PDEMFS NFS	_
66	COCO PREFP VERB AUX ADV PINDMS AUX ADV ADJ COCO PPOBJMP ADV ADV PINDMS <eps> <eps> VERB ADV VERB DINTFS NFS <eps> <eps> <eps> <eps> <eps> <eps> <eps>	<eps> PREFP VERB AUX ADV COCO <eps> ADV ADJ COCO <eps> ADV ADV ADJ VERB ADJMS VERB ADV VERB DINTFS NFS ADV ADV ADV ADJMS COCO ADV PREP	_
67	PREP PROPN DET NFS ADV ADJFS VERB ADV PREP VERB DINTMS NMS ADV ADJMS	<eps> PROPN DET NFS ADV ADJMS VERB ADV PREP VERB DINTMS NMS ADV ADJMS	_
68	DET NMP ADJMP VERB ADV CHIF DET NMP ADJMP PREP NMS PREP NMS PREP NMS	DET NMP ADJMP VERB ADV CHIF DET NMP ADJMP PREP NMS PREP NMS PREP NMS	_
69	COCO DETFS NFS PREP PROPN XFAMIL PREL VERB DETFS NFS PREP DETFS ADJFS NFS DET NMP ADJ DINTMS ADJ NMS	PROPN XFAMIL PUNCT <eps> <eps> <eps> PREL VERB DETFS NFS PREP DETFS ADJFS NFS DET NMP ADJ DINTMS ADJ NMS	_
70	AUX VPPMS PREFP VERB PROPN XFAMIL PPER3MS PPOBJMS VERB ADV PROPN XFAMIL PREL AUX ADJMS DETMS ADJMS PREL VERB ADV DET NMP PREL VERB ADV VERB DETMS NMS ADJMS PREP DINTFS NFS PREP DET NMP DETFS NFS DET NMP AUX ADV PREP PROPN	VERB <eps> PREFP VERB PROPN XFAMIL PPER3MS PPOBJMS VERB ADV PROPN XFAMIL PREL AUX ADJMS DETMS ADJMS PREL AUX ADV DET NMP PREL VERB ADV VERB DETMS NMS ADJMS PREP DINTFS NFS PREP DET NMP DETFS NFS DET NMP AUX ADV PREP PROPN	_
71	PREP DETMS NMS ADJMS AUX ADV VPPMS COCO PPER1S AUX VPPFS ADV PPER1S <eps> VERB ADV ADV COSUB PDEMMS AUX ADJFS	PDEMMS <eps> <eps> <eps> AUX ADV VPPMS <eps> PPER1S AUX VPPFS ADV PPER1S ADV VERB ADV ADV <eps> PDEMMS AUX ADJFS	_
