1	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
81	guillaume peltier vous avez notamment participé en tant que porte parole à la campagne de nicolas sarkozy geoffroy didier on vous voit souvent à côté de brice hortefeux vous êtes donc deux jeunes sarkozistes alors si j' ai bien compris la droite forte ça rappelle la france forte c' est la continuité	guillaume peltier vous avez notamment participé en tant que porte parole à la campagne de nicolas sarkozy geoffroy didier on <eps> voit souvent à côté de brice hortefeux vous êtes donc deux jeunes sarkozystes alors si j' ai bien compris la droite forte ça rappelle la france forte c' est la continuité	_
82	c' est dans un dans dans un prolongement avec geoffroy qui a été aussi l' un des coordinateurs de la seule riposte qui avait beaucoup travaillé tout au long de la campagne présidentielle	<eps> <eps> dans un dans dans un prolongement avec geoffroy qui a été aussi l' un des coordinateurs de la cellule riposte qui avaient beaucoup travaillé tout au long de la campagne présidentielle	_
83	on a souhaité d' abord assumer	<eps> a souhaité d' abord assumer	_
84	de manière totalement décomplexée le sarkozysme	<eps> manière totalement décomplexée le sarkozysme	_
85	repousser	repoussé	_
86	ce droit d' inventaire qu' on entend ici ou là	<eps> droit d' inventaire qu' on entend ici ou là	_
87	parfois de manière trop forte dans notre dans notre camp assumer le sarkozysme comme fondation de la droite de demain et parler évidemment d' avenir nous qui avons un peu plus de trente ans	parfois de manière trop forte dans notre dans notre camp assumait le sarkozysme comme fondation de la droite de demain et parlé évidemment d' avenir nous qui avons un peu plus de trente ans	_
88	mais c' est quoi le sarkozysme parce que nicolas sarkozy c' est avant tout un homme pragmatique est ce qu' on peut définir une ligne de pensée de sarkozy	<eps> c' est quoi le sarkozysme parce que nicolas sarkozy c' était avant tout un homme pragmatique <eps> ce qu' on peut définir une ligne de pensée sarkozyste <eps>	_
89	<eps> c' est la première fois que que l' ump est dans l' opposition depuis sa création	et c' est la première fois que que l' ump et dans l' opposition depuis sa création	_
90	donc la droite se retrouve aujourd'hui <eps> face à elle même donc nous estimons que la droite n' a pas été suffisamment sûre de ses valeurs et suffisamment combative sur la forme donc nous avons une double urgence	donc la droite se retrouvent aujourd' hui face à elle-même <eps> donc nous estimons que la droite n' a pas été suffisamment sûre de ses valeurs et suffisamment combatif sur la forme donc nous avons une double urgence	_
91	d' une droite plus décomplexée et c' est vrai que nicolas sarkozy a largement contribué à décomplexer la droite	<eps> une droite plus décomplexée <eps> c' est vrai que nicolas sarkozy a largement contribué à des complices <eps>	_
92	droite décomplexée	été décomplexée	_
93	c' est une droite qui arrête de parler du front national	<eps> est une droite qui arrête de parler du front national	_
94	c' est une droite qui est sûre de ses valeurs et nos valeurs quelles sont elles c' est l' amour de la france	c' est une droite qui est sûr de ses valeurs et nos valeurs quelles sont elles c' est l' amour de la france	_
95	c' est le respect de nos frontières c' est la récompense du mérite c' est la priorité au travail ce sont toutes ces valeurs qui sont le coeur du peuple militant de droite	<eps> <eps> le respect de nos frontières c' est la récompense du mérite c' est la priorité au travail <eps> sont toutes ces valeurs qui sont le coeur du peuple militant de droite	_
96	eu de cesse de nous excuser mais le rôle d' un parti politique ce n' est pas d' être obsédé par un autre trop souvent l' ump a parlé du front national nous voulons parler	ne <eps> cesse de nous excuser <eps> le rôle d' un parti politique ce n' est pas d' être obsédé par un autre trop souvent l' ump a parlé du front national nous voulons parler	_
97	de nos valeurs ces valeurs sont fortes et ces valeurs nous devons les incarner les promouvoir	<eps> nos valeurs ses valeurs sont fortes et ses valeurs nous devons les incarner et promouvoir	_
98	et les brandir avec la même force avec laquelle nous avons brandi le drapeau tricolore à villepinte à la concorde ou au trocadéro	et <eps> brandir avec la même force avec laquelle nous avons brandit le drapeau tricolore à villepinte à la concours d' autres occasions	_
99	non mais penser que quand même ça sème le le trouble on a l' impression que vous êtes là pour préparer le retour de nicolas sarkozy	mes pensées <eps> que quand même ça sème le <eps> trouble on a l' impression que vous êtes là pour préparer le retour <eps> nicolas sarkozy	_
100	non mais (f) ça c' est un truc de de journalistes non <eps> <eps> <eps> <eps> mais parce qu' on mais parce que d' abord vous savez c' est très simple on a été très fier d' accompagner nicolas sarkozy tout au long du quinquennat et <eps> tout au long de la campagne présidentielle de <eps> <eps> deux mille douze non mais	<eps> mais <eps> ça c' est un truc de deux journalistes lensois nommément la droite forte mais parce qu' on ne met pas absolument plus et <eps> c' est très simple on a été très fier d' accompagner nicolas sarkozy tout au long du quinquennat et que tout au long de la il est pas utilisé en deux milles douze <eps> <eps>	_
101	ça c' est son choix et c' est son droit mais on a le droit de s' inspirer de ce qui a marché de ces valeurs fortes de cette fierté d' être nous même vous savez	que <eps> <eps> son choix et c' est son droit mais on a le droit de s' inspirer de ce qui a marché de ses valeurs forte de cette fierté d' être nouvelles <eps> vous savez	_
102	je vais vous dire sous jacques chirac <eps> faut être honnête la droite n' assumait pas toujours ses valeurs avec nicolas sarkozy il a décomplexé les valeurs qu' a évoqué	je vais vous dire sous jacques chirac il faut être honnête la droite n' assume pas toujours ces valeurs avec nicolas sarkozy il a décomplexée des valeurs qui a évoqué	_
103	je comprends bien mais ça va pas de soi puisqu' à à la tête de l' ump il y a jean françois copé et françois fillon est candidat à la présidence jean <eps> françois fillon a été le premier ministre de nicolas sarkozy <eps> qu' est ce que vous apportez de plus	je voudrais maintenant souvent puisque était <eps> de <eps> <eps> <eps> <eps> <eps> <eps> <eps> l' ump il faut que jean-françois <eps> copé et françois fillon est candidat à la présidence je retrouve françois fillon a été le premier ministre de nicolas sarkozy mais qu' est ce que vous apportez de plus	_
104	non mais <eps> y a deux choses	<eps> mais il y a deux choses	_
105	pour nous le dix huit novembre il y a un congrès	<eps> nous le dix huit novembre il y a un congrès	_
106	et dans le congrès <eps> y a deux congrès le congrès des hommes qui est légitime entre françois fillon et jean françois copé et le congrès des idées	<eps> dans le congrès il y a deux congrès le congrès des hommes qui est légitime entre françois fillon et jean-françois <eps> copé et le congrès des idées	_
107	et nous on souhaite avec geoffroy et beaucoup de de militants de responsables dans les départements de parlementaires	<eps> nous on souhaite avec geoffroy et beaucoup de de militants de rester dans les départements de parlementaires	_
108	d' affirmer haut et fort les idées pour permettre de reconstruire la droite de demain autour des valeurs que geoffroy vient d' a() <eps> vient d' annoncer	d' affirmer haut et fort les idées pour permettre de reconstruire la droite de demain autour des valeurs que geoffroy il y en a vient d' annoncer	_
109	quel est votre candidat à la présidence de l' ump	quelle est votre candidat à la prison de l' ump	_
110	mais ce n' est ce n' est pas notre	<eps> ce n' est <eps> n' est pas notre	_
111	priorité nous sommes nous sommes <eps> <eps> <eps>	priori ça ne vous allez en choisissant m	_
112	mais peut être que nous choisirons chacun à titre personnel en tant que militant mais nous avons <eps> <eps> <eps> <eps> surtout nous avons nous ressentons surtout sur le terrain le besoin	peut-être <eps> <eps> que nous choisirons chacun à titre personnel en tant que militant mais pas forcément mais vous avez alors surtout nous avons nous ressentons surtout sur le terrain le besoin	_
113	d' une démarche idéologique et donc	<eps> une démarche idéologique <eps> donc	_
114	nous avons envie de combattre pour des valeurs plutôt que de défendre un leader	nous avons envie de combattre pour des valeurs plutôt que de défendre un leader	_
115	voilà notre urgence et voilà aujourd'hui <eps> l' urgence si nous voulons reconquérir les territoires	voilà notre urgence et voilà aujourd' hui l' urgence si nous voulons reconquérir les territoires	_
116	en deux mille quatorze et dans les années suivantes et puis il y a certains au sein de l' ump qui se lamentent sur le passé	<eps> deux milles quatorze et dans les années suivantes et puis il y a certains au sein de l' ump qui se lamente sur le passé	_
117	avec des droits d' inventaires inutiles nous nous estimons que la chance aujourd'hui <eps> que nous avons c' est d' être face à de vrais choix idéologiques et bien ces choix idéologiques nous voulons les affirmer les promouvoir et les brandir haut et fort	avec des droits d' inventaire inutile nous nous estimons que la chance aujourd' hui que nous avons c' est d' être face à de vrais choix idéologique et bien ses choix idéologique nous voulons les affirmer les promouvoir et les prend de l' iran	_
118	donc vous validez donc la <eps> décision de créer des mouvements	<eps> vous valider donc la la décision de créer des mouvements	_
119	au sein de l' ump	c' est un bien conservé	_
120	à jean françois copé d' avoir justement pris cette initiative	jean-françois <eps> <eps> copé d' avoir justement pris cette initiative	_
