BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	DANS SON ÉPOUSE BERRU CEBER FEMME SOURIRE EN DIRECT JUSQU'À DIX NEUF HEURES
DE SORTE QUE AUCUN D' EUX NE S' EMBRASE À NOUVEAU NOUS ÉTIONS TOUT À L' HEURE A(VEC) AVEC LES SAPEURS POMPIERS EN MISSION DE RECONNAISSANCE ET JE PEUX VOUS DIRE QUE L' ODEUR DE BRÛLÉ EST ENCORE PARTICULIÈREMENT INTENSE	DE SORTES COQUES AUCUN DEUX NE S'EMBRASSENT À NOUVEAU NOUS ÉTIONS OU TOUT À L'HEURE AVEC LES FAPEURS POMPIERS EN MISSION DE RECONNAISSANCE ET JE PEUX VOUS DIRE QUE L'ODEUR DE BRÛLÉ EST ENCORE PARTICULIÈREMENT INTENSE
QUINZE MILLE HECTARES DÉVASTÉS CÔTÉ ESPAGNOL QUATRE MORTS LA SEULE BONNE NOUVELLE C' EST QUE IL N' Y A PAS DE GROS DÉGÂTS MATÉRIELS	UN QUINZE MILLE ACTEURS DÉVASTÉS CÔTÉS ESPAGNOLS QUATRE MORTS LA SALLE BONNE NOUVELLE SAIT QUE N'Y A PAS DE GROS DÉGÂTS MATÉRIELS
OUI EFFECTIVEMENT (N) LES DÉGÂTS SONT PLUTÔT RELATIVEMENT LIMITÉS COMPTE TENU DE L' INTENSITÉ DE L' INCENDIE NOUS SOMMES ICI SUR LES HAUTEURS DE PERTHUS	OUI EFFECTIVEMENT ALLER DES GARES SON PLUTÔT RELATIVEMENT LIMITÉE COMPTE TENU DE L'INTENSITÉ DE L'INCENDIE VOUS SOMMES ICI SUR LES HAUTSTEURS DE PERTUS
LE DERNIER VILLAGE AVANT LA FRONTIÈRE ESPAGNOLE ET C' EST ICI MÊME AU PIED DU FORT DE BELLEGARDE QUE LE BRASIER A COMMENCÉ IL Y A TROIS JOURS COMME VOUS POUVEZ LE VOIR DERRIÈRE MOI	LE DERNIER VILLAGE AVANT LA FRONTIÈRE ESPAGNOLE ESSAIE ESSAI MÊME AUX PIEDS DU FORT DE BELLEGARDE QUE LE BRASIER A COMMENCÉ LES LIENS AUX TROIS JOURS COMME VOUS POUVEZ LE VOIR DERRIÈRE MOI
C' EST UN SECTEUR TRÈS PEU HABITÉ ET LES RARES MAISONS ISOLÉES ONT FORT HEUREUSEMENT ÉTÉ SAUVÉES DES FLAMMES PAR L' INTERVENTION	C'EST UN SECTEUR TRÈS PEU HABITÉ ET LES RARES MAISONS ISOLÉES ONT FORTEMENT ÉTÉ AUX SAUVÉS DES FLAMMES PAR L'INTERVENTION
DES POMPIERS NÉANMOINS C' EST UNE ZONE EXTRÊMEMENT DENSE ET DONC AVEC BEAUCOUP DE VÉGÉTATION UN SECTEUR DONC À TRÈS HAUT RISQUE LES RARES RIVERAINS QUE NOUS AVONS PU CROISER	DES POMPIERS NÉANMOINS C EST UNE ZONE EXTRÊMEMENT DENSE ET DONC AVEC BEAUCOUP DE VÉGÉTATIONS INFECTEURES DONC A TRÈS ORISTES LES RARES ARRIVERANT QUE NOUS AVONS PU CROISER
OSCILLAIENT TOUT À L' HEURE ENTRE LA LA DÉSOLATION DE VOIR FINALEMENT CE PAYSAGE COMPLÈTEMENT RAVAGÉ PAR LES FLAMMES MAIS AUSSI L' INQUIÉTUDE DE SAVOIR QU' EST CE QU' IL POURRA SE PASSER DANS LES PROCHAINES HEURES DANS LES	AUSSI TOUT À L'HEURE LA DÉSOLATION DE VOIR FINALEMENT À CE PAYSAGE COMPLÈTEMENT RAVAGÉE PAR LES FERMES MAIS AUSSI L'INQUIÉTUDE DE SA MORT QU'EST CE QU'IL POURRA SE PASSER DANS LES PROCHAINES JOUEURS DANS LES
PROCHAINS JOURS SI EFFECTIVEMENT LE VENT REDOUBLE D' INTENSITÉ	TROIS JOURS SI EFFECTIVEMENT LE VENT REDOUBLE D'INTENSITÉ
PERRINE BAGLAN AVEC AMÉLIE PATEYRON ET JEAN MAURICE PRIN LA FRANCE VOUS LE DISIEZ A ENVOYÉ DES RENFORTS SUR LE SOL ESPAGNOL PLUS DE QUATRE CENTS POMPIERS SEPT AVIONS BOMBARDIERS D' EAU SONT SUR PLACE DÉCISION PRISE PAR LE MINISTRE DE L' INTÉRIEUR MANUEL VALLS	PLEINE BAGLAND AVEC AMÉLIE PATHERON ET JEAN MAURICE PREND LA FRANCE LOUD DIX ENVOYER DES RENFORTS SUR LE SOL ESPAGNOL PLUS DE QUATRE CENTS POMPIERS SEPT AVIONS BOMBARDIERS D'EAU SON SUR PLACE DÉCISION PRISE PAR LE MINISTRE DE L'INTÉRIEUR MANUEL VALS
CE QUI SE PASSE EN EUROPE DOIT NOUS TOUCHER ET NOTAMMENT UN PAYS COMME L' ESPAGNE QUI EST	TOUTE LA SOEUR EN EUROPE DOIT NOUS TOUCHER NOTAMMENT UN PAYS COMME L'ESPAGNE QUI EST LA S UR EN EUROPE DOIT NOUS TOUCHER NOTAMMENT UN PAYS COMME L'ESPAGNE QUI EST
EN PLUS FRAPPÉ PAR LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C' EST UNE RÉGION QUE JE CONNAIS BIEN HUM ET QUI A DÉJÀ ÉTÉ TOUCHÉE PAR DES INCENDIES TOUT À FAIT DRAMATIQUES	PLUS FRAPPÉ PAR LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIS BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONN
DANS L' ACTUALITÉ ÉGALEMENT CE NOUVEL AVIS DE TEMPÊTE SUR LA ZONE EURO	L'INACTALITÉ ÉGALEMENT SE NOUVEL AVI DE TEMPÊTE SUR LA ZONE EUROPE
TROIS PAYS DONT LA POURTANT TRÈS SOLIDE ALLEMAGNE PLACÉE SOUS PERSPECTIVE NÉGATIVE PAR L' AGENCE DE NOTATION MOODY' S LEUR TRIPLE A EST DÉSORMAIS MENACÉ NICOLAS DE LABAREYRE	TROIS PAYS DONT L'AIENT POURTANT TRÈS SOLIDES ALLEMANDS ET PLACÉS SOUS PERSPECTIVES NÉGATIVES PAR L'AGENCE DE NOTATION MAUDIES ET LEUR TRIPLOA EST DÉSORMAIS MENACÉ NICOLAS LABARAIRE
EST CE AU TOUR DE L' ALLEMAGNE DU LUXEMBOURG ET DES PAYS BAS DE PERDRE LEUR TRIPLE A	EST CE AUTOUR DE L ALLEMAGNE DU LUXEMBOURG ET DES PAYS BAS DE PERDRE LEUR TRIPLE A
POSSIBLE L' AGENCE MOODY' S A PLACÉ HIER SOIR CES PAYS SOUS PERSPECTIVES NÉGATIVES	POSSIBLE L'AGENCE MAUDIZ A PLACÉ HIER SOIR CES PAYS SOUS PERSPECTIVES NÉGATIVES
EN CLAIR ELLE N' EXCLUT PAS D' ABAISSER LEUR NOTE SI LA SITUATION SE DÉGRADE	EN CLAIR ELLE N'EXCLUT PAS D'ABAISSER LEUR NOTE SI LA SITUATION SE DÉGRADE
CET AVERTISSEMENT NE PANIQUE PAS LES INVESTISSEURS	CET AVERTISSEMENT NE PANIQUE PAS LES INVESTISSEURS
LES BOURSES EUROPÉENNES RESTENT STABLES OU EN LÉGÈRE BAISSE	LES BOURSES EUROPÉENNES RESTENT STABLES EN LÉGÈRE BAISSE
CETTE DÉGRADATION N' EST CERTAINEMENT PAS UN SIGNAL POSITIF MAIS ÇA N' INFLUE PAS TROP SUR LES MARCHÉS	CETTE DÉGRADATION N'EST CERTAINEMENT PAS UN SIGNAL POSITIF MAIS ÇA N'INFLUE PAS TROP SUR LES MARCHÉS
PARCE QUE NOUS AVONS DÉJÀ OBSERVÉ DANS LE PASSÉ DES DÉCISIONS ÉTRANGES DE LA PART DES AGENCES DE NOTATIONS CETTE BAISSE DE PERSPECTIVE N' AURAIT PAS DÛ AVOIR LIEU MAIS DANS UN SENS C' ÉTAIT PRÉVISIBLE	PARCE DE NOUS AVONS DÉJÀ OBSERVE DANS LE PASSÉ DES DÉCISIONS ÉTRANGES DE LA PART DES AGENCES DE NOTATION CETTE BASE DE PERSPECTIVE N AURAIT PAS DÛ AVOIR LIEU MIS DANS UN SENS C ÉTAIT PRÉVISIBLE
PRÉVISIBLE PARCE QUE LA CRISE DE LA DETTE N' EN FINIT PLUS D' INQUIÉTER LES ANALYSTES POUR SE JUSTIFIER MOODY' S EXPLIQUE QU' IL EST DE PLUS EN PLUS PROBABLE QUE LA GRÈCE SORTE DE LA ZONE EURO ET QUE DE NOUVEAUX PLANS DE SAUVETAGE SOIENT NÉCESSAIRES POUR L' ESPAGNE ET L' ITALIE NOTAMMENT	PRÉVISIBLE PARCE QUE LA CRISE DE LA DÉTENANT FINIT PLUS D'INQUIÉTER LES ANALYSTES POUR SE JUSTIFIER MAUDITS EXPLIQUE QU'IL EST DE PLUS EN PLUS PROBABLE QUE LA GRÈCE SORTE DE LA ZONE EURO EST QUE DE NOUVEAUX PLANS DE SAUVETAGE SOIENT NÉCISSAIRES POUR L'ESPAGNE ET L'ITALIE NOTAMMENT
DE TELS ÉVÉNEMENTS PÈSERAIENT SUR LES PAYS LES PLUS SOLIDES	DE TELS ÉVÈNEMENTS PÈSERAIENT SUR LES PAYS LES PLUS SOLIDES
LE FAIT QU' IL Y AIT UNE MISE SOUS SURVEILLANCE NÉGATIVE DE L' ALLEMAGNE C' EST SIMPLEMENT LE FAIT DE COMPRENDRE QUE SI LES PAYS DE L' EUROPE SONT DANS UNE DIFFICULTÉ PLUS GRANDE ET BIEN IL Y AURA UN COUP POUR L' ALLEMAGNE ET QUE CE COUP VIENDRAIT DÉSTABILISER LE LES FINANCES PUBLIQUES ALLEMANDES	LE FAIT QU'IL EST UNE MISE SOUS SURVEILLANCE NÉGATIVE DE L'ALLEMAGNE ET SIMPLEMENT LE FAIT DE COMPRENDRE QUE SI LES PAYS DE L'EUROPE SONT UNE DIFFICULTÉ PLUS GRAND LES LIENS IL Y AURA UN COUP POUR L'ALLEMAGNE QUE SECOUE VIENDRAIT DE STABILISER LE ET LES FINANCES PUBLIQUES ALLEMANDES
POUR LE MOMENT L' ALLEMAGNE RESTE PARMI LES ÉTATS CONSIDÉRÉS COMME LES PLUS SOLVABLES LE MINISTRE DES FINANCES ALLEMAND ASSURE QUE SON PAYS CONTINUERA D' ÊTRE JE CITE L' ANCRE DE STABILITÉ DANS LA ZONE EURO	POUR LE MOMENT L'ALLEMAGNE Y RESTE PARMI LES ÉTATS CONSIDÉRÉS COMME LES PLUS SOLVABLES LE MINISTRE DES FINANCES ALLEMANDS ASSURE QUE SON PAYS CONTINUERA D'ÊTRE JOCITE L'ENCRE DE STABILITÉ DANS LA ZONE EURO
LA FILIÈRE AUTOMOBILE À LA VEILLE D' UNE JOURNÉE CAPITALE POUR SON AVENIR LES NÉGOCIATIONS S' OUVRENT DEMAIN CHEZ PSA SUR LE PLAN SOCIAL QUI PRÉVOIT LA SUPPRESSION DE HUIT MILLE POSTES C' EST AUSSI DEMAIN QU' EN CONSEIL DES MINISTRES LE GOUVERNEMENT DOIT SE PENCHER SUR LES MESURES DE SOUTIEN AU SECTEUR	L'INFILIÈRE AUTOMOBIE À LA VEILLE D'UNE JOURNÉE CAPITALE POUR SON AVENIR LES NÉGOCIATIONS S'OUVRE DEMAIN CHEZ PESSA SUR LE PLAN SOCIAL QUI PRÉVOIT LA SUPPRESSION DE LULLING POSTE C'EST AUSSI DEMAIN QU'ON CONSEILLE DES MINISTRES LE GOUVERNEMENT DOIT SE PENTER SUR LES MESURES DE SOUTIEN AU SECTEUR
ET DANS CE CONTEXTE L' OPPOSITION A CLAIREMENT DÉCIDÉ DE S' EN PRENDRE À ARNAUD MONTEBOURG	DANS CE CONTEXTE L'OPPOSITION A CLAIREMENT DÉCIDÉ DE S'EN PRENDRE À ARNAUD HAMBOURG
LE CHEF DE FILE DES DÉPUTÉS UMP CHRISTIAN JACOB REPROCHE AU MINISTRE DU REDRESSEMENT PRODUCTIF DE SE COMPORTER EN PROCUREUR DANS LE DOSSIER PSA LE PORTE PAROLE DU GROUPE CENTRISTE JEAN CHRISTOPHE LAGARDE REGRETTE DE SON CÔTÉ QUE LE MINISTRE PARLE AU LIEU D' AGIR	LE CHEF DE FILE ET DÉPUTÉ L'IMPÉ CHRISTIAN JACOB REPROCHE AU MINISTRE DU REDRESSEMENT PRODUCTIF DE SE COMPORTER EN PROCUREUR DONT DOSSIER PESSA LE PORTE PAROLE GROUPEE CENTRISTE JEAN CHRISTOPHE LAGARDE REGRETTE DE SON GOTHIQUE LE MINISTRE PARLE HAUT LIEU D'AGIR
NOUS SOMMES LASSÉS DES MOULINETS ESTIVAUX DE MONSIEUR MONTEBOURG	NOUS SOMMES LAISSÉS DES MOULINETS ESTIVAUX MONSIEUR MONTBOURT
C' EST BIEN D' ÊTRE G() D' AGITER LES BRAS DE FAIRE COMME S' IL ÉTAIT ENCORE CANDIDAT À LA PRIMAIRE SOCIALISTE MAIS AUJOURD'HUI IL EST MINISTRE DE LA RÉPUBLIQUE IL S' AGIT PLUS DE NOUS DIRE JE PEUX FAIRE IL A LES MOYENS DE FAIRE	C'EST BIEN D'AJOUTE D'AGITÉ LES BRAS DE FAIRE COMME S'IL EST ENCORE CANDIDAT À LA PRIMAIRE SOCIALISTE MAIS AUJOURD'HUI LES MINISTRES DE LA RÉPUBLIQUE S'AGIT PLUS NAUDIA JE PEUX FAIRE IL A LES MOYENS DE FAIRE
QUE FAIT IL DÉNONCER LES UNS ÇA NE DONNE PAS DE SOLUTIONS POUR LES SALARIÉS CRÉER CETTE TENSION	QUE FAIT IL DÉNONCER LES ANS ÇA NE DONNE PAS DES SOLUTIONS POUR LES SALARIÉS CRÉER CETTE TENSION
QUI A CONDUIT LE PREMIER MINISTRE À APAISER LES CHOSES EN RECEVANT LUI MÊME LES DIRIGEANTS DE PEUGEOT ÇA NE S() ÇA NE ÇA N' APPORTE RIEN DE POSITIF DONC LA VRAIE QUESTION C' EST COMMENT EMPÊCHER QUE CES SITES DE PEUGEOT FERMENT C' EST MÊME PAS ENCORE LA RÉINDUSTRIALISATION C' EST QUE FAITES VOUS	QU'A TONDU LE PREMIER MINISTRE À APAISER DES CHOSES EN RECEVANT LUI MÊME DIRIGEANT DU GENRE SANOS SALSANOSA N'IMPORTE RIEN POSITIF DONT L'ABRICATION S'EST COMMENT EMPÊCHER QUE CES SILES DE FOJO FERME C'EST MÊME PAS ENCORE LA RÉINDUSTRIALISATION C'EST QUE S'ÊTRE VOUS
PREMIÈRE RÉACTION D' ÉRIC WOERTH IL EST SOULAGÉ DES EXPERTS MANDATÉS PAR BERCY ONT ESTIMÉ QUE LA VENTE DES TERRAINS DE L' HIPPODROME DE COMPIÈGNE EN DEUX MILLE DIX ÉTAIT LÉGALE L' ANCIEN MINISTRE DU BUDGET ÉTAIT SOUPÇONNÉ DE LES AVOIR EN QUELQUE SORTE DE LES AVOIR BRADÉS	PREMIÈRE RÉACTION D AVEC VERTILER SOULAGER DES EXPERTS MANDATÉS PAR BERCY ONT ESTIMÉ QUE LA VENTE DES TERRAINS MANDATÉS PAR BERCY ONT ESTIMÉ QUE LA VENTE DES TERRAINS MANDATÉS PAR BERCY ONT ESTIMÉ QUE LA VENTE DES TERRAINS MANDATÉS PAR BERCY EN ESTIMÉ QUE LA VENTE DES TERRAINS MANDATÉS PAR BERCY ONT ESTIMÉ QUE LA VENTE DES TERRAINS MANDATÉES PAR BERCY ONT ESTIMÉS QUE LA VENTE DES TERRAINS MANDATÉS PAR BERCY ONT ESTIMÉ QUE LA VENTE DES TERRAINS MANDATÉES PAR BERCY ONT ESTIMÉS QUE LA VENTE DES TERRAINS MANDATÉS PAR BERCY ONT ESTIMÉ DE LA VENTE DES TERRAINS MANDATÉS PAR BERCY ONT ESTIMÉ DE LA VENTE DES TERRAINS MANDATÉS PAR BERCY ONT ESTIMÉ DE LA VENTE DES TERRAINS MANDATÉS PAR BERCY ONT ESTIMÉ QUE LA VENTE DES TERRAINS DE L'HIPPODRO
C' EST VRAI QUE LES RAPPORTS D' EXPERTISES SONT DE JURIDIQUES SONT DES RAPPORTS QUI ME DONNENT RAISON DONC C' EST ÉVIDEMMENT TOUJOURS UN C' EST D' ABORD UN SOULAGEMENT VOILÀ	C'EST VRAIMENT LES RAPPORTS D'EXPERTISE SONT EUX JURIDIQUES SONT DES RAPPORTS QUI ME DONNENT RAISON DONC S'ÉTAIT VIOLEMMENT TOUJOURS C'EST D'ABORD UN SOULAGEMENT
C' EST LA CONFIRMATION DE CE QUE JE DIS DEPUIS DEUX ANS CETTE VENTE ÉTAIT LÉGALE ÉVIDEMMENT	C EST LA CONFIRMATION DE CE QUE JE DIS DEPUIS DEUX ANS CETTE VENTE ÉTAIT LÉGALE ÉVIDEMMENT
ET DANS L' INTÉRÊT DE L' ÉTAT	IL EN INTÉRÊT DE L'ÉTAT
CEUX QUI ONT DIT LE CONTRAIRE AVAIENT SOIT UNE ARRIÈRE PENSÉE POLITIQUE TRÈS FORTE SOIT D' AUTRES DOSSIERS À DÉFENDRE DERRIÈRE CELA SOIT TOUT SIMPLEMENT ESSAYAIENT DE ME DE ME NUIRE COMME ÇA ARRIVE MALHEUREUSEMENT TROP SOUVENT DANS LA VIE POLITIQUE QUAND ELLE EST MAL ACCOMPLIE	CE QUI VOUS DIT LE CONTRAIRE AVAIT SOIT UNE ARRIÈRE PENSÉE POLITIQUE TRÈS FORTE SOIT D AUTRES DOSSIERS À DÉFENDRE DERRIÈRE CELA SUR TOUT SIMPLEMENT ESSAYE DE ME VENUIR
UN MOIS APRÈS LA FUSILLADE QUI A FAIT DEUX MORTS DEVANT LA DISCOTHÈQUE DE LE THÉÂTRO À LILLE LE TIREUR PRÉSUMÉ ET L' HOMME AVEC LEQUEL IL AVAIT PRIS LA FUITE VIENNENT D' ÊTRE PRÉSENTÉS À UN JUGE LILLOIS ILS AVAIENT ÉTÉ ARRÊTÉS EN ESPAGNE	UN MOIS APRÈS LA FUSILLADE QUI FAIT DEMEURE DEVANT LA DISCOTHÈQUE LE TEATRO À L'ÎLE TIREUR PRÉSUMÉE ET L'HOMME AVEC LEQUEL IL AVAIT PRIS LA FUITE VIENNE D' ÊTRE PRÉSENTÉ UN JUGE LILLOIS ILS AVAIENT ÉTÉ ARRÊTÉS EN ESPAGNE
APRÈS QUELQUES JOURS DE CAVALE C' EST AUJOURD'HUI QUE LES AUTORITÉS ESPAGNOLES LES ONT EXTRADÉS VERS LA FRANCE	APRÈS QUELQUES JOURS DE CAVALE C'EST AUJOURD'HUI LES AUTORITÉS ESPAGNOLES ET ONT EXTRADÉ VERS LA FRANCE
CINQ MILLE NOUVEAUX RÉFUGIÉS DEPUIS TROIS JOURS EN JORDANIE DES CAMPS D' ACCUEIL EN IRAQ DÉSORMAIS L' EXODE DES SYRIENS S' INTENSIFIE LE LIBAN	CINQ MILLE NOUVEAU RÉFUGIÉS DEPUIS TROIS JOURS EN JORDANIE DES CAMPS D'ACCUEIL EN IRAK DÉSORMAIS L'HEXODE DES SYRIENS S'INTENSIFIENT LE LIBAN
FAIT ÉVIDEMMENT PARTIE DES PORTES DE SORTIE AVEC UNE PARTICULARITÉ LÀ BAS EN RAISON DE LA FORTE DIASPORA SYRIENNE ON SE RETROUVE AVEC UNE COHABITATION TRÈS TENDUE ENTRE PRO ET ANTI BACHAR	ELLE FAIT ÉVIDEMMENT PARTIE DES PORTES DE SORTIE AVEC UNE PARTICULARITÉ LÀ BAS EN RAISON DE LA FORTE DIASPORA SYRIENNE EN SE TROUVE AVEC UNE COHABITATION TRÈS TENDUE ENTRE PRO ET ANTIBACHE
À TRIPOLI DANS LE NORD DU PAYS REPORTAGE DES ENVOYÉS SPÉCIAUX DE BFMTV LAETITIA SOUDY ET QUENTIN BAULIER	À TRIPOLIER AU NORD DU PAYS REPORTAGE DES ENVOYÉS SPÉCIOBAFEMTEVELETISIASUDI ET QUENTINBOLIER
BAB EL TABBANEH DANS LE CENTRE DE TRIPOLI ICI PLUSIEURS COMITÉS SE SONT CONSTITUÉS POUR AIDER LES RÉFUGIÉS SYRIENS COMME CETTE FEMME	MADAME TAPAMON DANS LE CENTRE DE TRIPOLI ICI PLUSIEURS COMITÉS SE SONT CONSTITUÉS POUR AIDER LES RÉFUGIÉS SYRIENS COMME CETTE FEMME
