BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	SONT NÉCESSAIRES FEMMES SOURIS EN DIRECT JUSQU À À DIX NEUF HEURES
PERRINE BAGLAN AVEC AMÉLIE PATEYRON ET JEAN MAURICE PRIN LA FRANCE VOUS LE DISIEZ A ENVOYÉ DES RENFORTS SUR LE SOL ESPAGNOL PLUS DE QUATRE CENTS POMPIERS SEPT AVIONS BOMBARDIERS D' EAU SONT SUR PLACE DÉCISION PRISE PAR LE MINISTRE DE L' INTÉRIEUR MANUEL VALLS	GREEN BAGLANDAIS CAMELY PATHÉRON ET JEAN MAURICE PRIN LAFRANSE OLIVIER HENRI DES RENFORTS SUR LE SOL ESPAGNOL PLUS DE QUATRE CENTS POMPIERS SEPT AVIONS BOMBARDIERS D HAUSSON SUR PLACE DÉCISIONS PRISES PAR LE MINISTRE DE L INTÉRIEUR MANUEL VALS
CE QUI SE PASSE EN EUROPE DOIT NOUS TOUCHER ET NOTAMMENT UN PAYS COMME L' ESPAGNE QUI EST	JUSQUISSE LANCEUR EN EUROPE DOIT NOUS TOUCHER NOTAMMENT UN PAYS COMME L ESPAGNE QUI EST
EN PLUS FRAPPÉ PAR LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C' EST UNE RÉGION QUE JE CONNAIS BIEN HUM ET QUI A DÉJÀ ÉTÉ TOUCHÉE PAR DES INCENDIES TOUT À FAIT DRAMATIQUES	LE PLUS FRAPPÉ PAR LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRISE ÉCONOMIQUE ET FINANCIÈRE ÉVIDEMMENT C EST UNE RÉGION QUE JE CONNAIT BIEN LA CRIS
DANS L' ACTUALITÉ ÉGALEMENT CE NOUVEL AVIS DE TEMPÊTE SUR LA ZONE EURO	DANS L ACTUALITÉ ÉGALEMENT CE NOUVEL AVIS TEMPÊTE SUR LA ZONE EURORO
TROIS PAYS DONT LA POURTANT TRÈS SOLIDE ALLEMAGNE PLACÉE SOUS PERSPECTIVE NÉGATIVE PAR L' AGENCE DE NOTATION MOODY' S LEUR TRIPLE A EST DÉSORMAIS MENACÉ NICOLAS DE LABAREYRE	TROIS PAYS DONT LÀ POURTANT TRÈS SOLIDE ALLEMAGNE PLACÉE SOUS PERSPECTIVE NÉGATIVE PAR L AGENCE DE NOTATION MODISE ALORS TRIPLEMENT EST DÉSORMAIS MENACÉE NICOLAS LA BARÈRE
EST CE AU TOUR DE L' ALLEMAGNE DU LUXEMBOURG ET DES PAYS BAS DE PERDRE LEUR TRIPLE A	S AUTOUR DE L ALLEMAGNE DU LUXEMBOURG ET DES PAYS BAS DE PERDRE LEUR TRIPLE A
POSSIBLE L' AGENCE MOODY' S A PLACÉ HIER SOIR CES PAYS SOUS PERSPECTIVES NÉGATIVES	POSSIBLE L AGENCE MAUDISE À PLACER HIER SOIR SES PAYS SOUS PERSPECTIVES NÉGATIVES
EN CLAIR ELLE N' EXCLUT PAS D' ABAISSER LEUR NOTE SI LA SITUATION SE DÉGRADE	EN CLAIR ELLES N EXCLUENT PAS D ABAISSER LEUR NOTE SI LA SITUATION SE DÉGRADE
CET AVERTISSEMENT NE PANIQUE PAS LES INVESTISSEURS	CET AVERTISSEMENT NE PANIQUE PAS LES INVESTISSEURS
LES BOURSES EUROPÉENNES RESTENT STABLES OU EN LÉGÈRE BAISSE	LES BOURSES EUROPÉENNES RESTENT STABLES EN LÉGÈRE BAISSE
CETTE DÉGRADATION N' EST CERTAINEMENT PAS UN SIGNAL POSITIF MAIS ÇA N' INFLUE PAS TROP SUR LES MARCHÉS	CETTE DÉGRADATION N EST CERTAINEMENT PAS UN SIGNAL POSITIF MAIS ÇA N INFLUE PAS TROP SUR LES MARCHÉS
PARCE QUE NOUS AVONS DÉJÀ OBSERVÉ DANS LE PASSÉ DES DÉCISIONS ÉTRANGES DE LA PART DES AGENCES DE NOTATIONS CETTE BAISSE DE PERSPECTIVE N' AURAIT PAS DÛ AVOIR LIEU MAIS DANS UN SENS C' ÉTAIT PRÉVISIBLE	PARCE QUE NOUS AVIONS DÉJÀ OBSERVÉ DANS LE PASSÉ DES DÉCISIONS ÉTRANGES DE LA PART DES AGENCES DE NOTATION CETTE BAISSE DE PERSPECTIVE N AURAIT PAS DÛ AVOIR LIEU MIS DANS UN SENS ÉTAIT PRÉVISIBLE AVEC MARIE ANTOINE
PRÉVISIBLE PARCE QUE LA CRISE DE LA DETTE N' EN FINIT PLUS D' INQUIÉTER LES ANALYSTES POUR SE JUSTIFIER MOODY' S EXPLIQUE QU' IL EST DE PLUS EN PLUS PROBABLE QUE LA GRÈCE SORTE DE LA ZONE EURO ET QUE DE NOUVEAUX PLANS DE SAUVETAGE SOIENT NÉCESSAIRES POUR L' ESPAGNE ET L' ITALIE NOTAMMENT	PRÉVISIBLE PARCE QUE LA CRISE DE LA DÉTENANT FINIT PLUS D INQUIÉTER LES ANALYSTES POUR SE JUSTIFIER MAUDICE EXPLIQUE QU IL EST DE PLUS EN PLUS PROBABLE QUE LA GRÈCE SORTE DE LA ZONERO ET QUE DE NOUVEAUX PLANTES SAUVETAGES SOIENT NÉCESSAIRES POUR L ESPAGNE ET L ITALIE NOTAMMENT
DE TELS ÉVÉNEMENTS PÈSERAIENT SUR LES PAYS LES PLUS SOLIDES	DE TELS ÉVÉNEMENTS PÈSERAIENT SUR LES PAYS LES PLUS SOLIDES
LE FAIT QU' IL Y AIT UNE MISE SOUS SURVEILLANCE NÉGATIVE DE L' ALLEMAGNE C' EST SIMPLEMENT LE FAIT DE COMPRENDRE QUE SI LES PAYS DE L' EUROPE SONT DANS UNE DIFFICULTÉ PLUS GRANDE ET BIEN IL Y AURA UN COUP POUR L' ALLEMAGNE ET QUE CE COUP VIENDRAIT DÉSTABILISER LE LES FINANCES PUBLIQUES ALLEMANDES	LE FAIT QU IL Y AIT UNE MISE SOUS SURVEILLANCE MAGNÉTIVE DE LA MANIÈRE SIMPLEMENT LE FAIT DE COMPRENDRE QUE SI LES PAYS DE L EUROPE SONT DIFFICULTÉS PLUS GRANDS LES BIENS IL Y AURA AU CONTRE L ALLEMAGNE QUE CE COU VIENDRAIT DÉSTABILISER LE DES FINANCES PUBLIQUES ALLEMANDES
POUR LE MOMENT L' ALLEMAGNE RESTE PARMI LES ÉTATS CONSIDÉRÉS COMME LES PLUS SOLVABLES LE MINISTRE DES FINANCES ALLEMAND ASSURE QUE SON PAYS CONTINUERA D' ÊTRE JE CITE L' ANCRE DE STABILITÉ DANS LA ZONE EURO	POUR LE MOMENT L ALLEMAGNE RESTE PARMI LES ÉTATS CONSIDÉRÉS COMME LES PLUS SOLVABLES LE MINISTRE DES FINANCES ALLEMANDS ASSURE QUE SON PAYS CONTINUERA D ÊTRE JEUSSITE L ENCRE DE STABILITÉ DANS LA ZONE EURO
LA FILIÈRE AUTOMOBILE À LA VEILLE D' UNE JOURNÉE CAPITALE POUR SON AVENIR LES NÉGOCIATIONS S' OUVRENT DEMAIN CHEZ PSA SUR LE PLAN SOCIAL QUI PRÉVOIT LA SUPPRESSION DE HUIT MILLE POSTES C' EST AUSSI DEMAIN QU' EN CONSEIL DES MINISTRES LE GOUVERNEMENT DOIT SE PENCHER SUR LES MESURES DE SOUTIEN AU SECTEUR	L INFILIÈRE AUTOMOBILE À LA VEILLE D UNE JOURNÉE EST CAPITALE POUR SON AVENIR LES NÉGOCIATIONS S OUVRE AU DEMAIN CHEZ PESSAS SUR LE PLAN SOCIAL QUI PRÉVOIT LA SUPPRESSION DE MIMINE POST C EST AUSSI DEMAIN QU EN CONSEIL DES MINISTRES LE GOUVERNEMENT DOIT SE PENCHER SUR LES MESURES DE SOUTIEN AU SECTEUR
ET DANS CE CONTEXTE L' OPPOSITION A CLAIREMENT DÉCIDÉ DE S' EN PRENDRE À ARNAUD MONTEBOURG	CE CONTEXTE L OPPOSITION A CLAIREMENT DÉCIDÉ DE S EN PRENDRE À ARNAUD MONTBOURG
LE CHEF DE FILE DES DÉPUTÉS UMP CHRISTIAN JACOB REPROCHE AU MINISTRE DU REDRESSEMENT PRODUCTIF DE SE COMPORTER EN PROCUREUR DANS LE DOSSIER PSA LE PORTE PAROLE DU GROUPE CENTRISTE JEAN CHRISTOPHE LAGARDE REGRETTE DE SON CÔTÉ QUE LE MINISTRE PARLE AU LIEU D' AGIR	LE CHEF DE FI DES DÉPUTÉS IMPÉCRITION JACOB REPROCHE AU MINISTRE DU REDRESSEMENT PRODUCTIF DE SE COMPORTER EN PROCUREUR DANS DOSSIER PESSA LE PORTE PAROLE GROUPE CENTRISTE JEAN CHRISTOPHE LAGARDE REGRETTE DE SON CÔTÉ QUE LE MINISTRE PARLE AU LIEU D AGIR
NOUS SOMMES LASSÉS DES MOULINETS ESTIVAUX DE MONSIEUR MONTEBOURG	SE MENACER DES MOULINETS ESTIVAUX MONSIEUR MONBOURG
C' EST BIEN D' ÊTRE G() D' AGITER LES BRAS DE FAIRE COMME S' IL ÉTAIT ENCORE CANDIDAT À LA PRIMAIRE SOCIALISTE MAIS AUJOURD'HUI IL EST MINISTRE DE LA RÉPUBLIQUE IL S' AGIT PLUS DE NOUS DIRE JE PEUX FAIRE IL A LES MOYENS DE FAIRE	C EST BIEN D AJOUTE AGITER LES BRAS DE FAIRE COMME S IL ÉTAIT ENCORE CANDIDAT À LA PRIMAIRE SOCIALISTE MAIS AUJOURD HUI L ÉGLISE DE LA RÉPUBLIQUE QUI S AGIT PLUS NEU DIRE JE PEUX FAIRE IL A LES MOYENS DE FAIRE
QUE FAIT IL DÉNONCER LES UNS ÇA NE DONNE PAS DE SOLUTIONS POUR LES SALARIÉS CRÉER CETTE TENSION	QUE FAIT IL DÉNONCER LES ANS ÇA NE DONNE PAS DES SOLUTIONS POUR LES SALARIÉS CRÉER CETTE TENSION
QUI A CONDUIT LE PREMIER MINISTRE À APAISER LES CHOSES EN RECEVANT LUI MÊME LES DIRIGEANTS DE PEUGEOT ÇA NE S() ÇA NE ÇA N' APPORTE RIEN DE POSITIF DONC LA VRAIE QUESTION C' EST COMMENT EMPÊCHER QUE CES SITES DE PEUGEOT FERMENT C' EST MÊME PAS ENCORE LA RÉINDUSTRIALISATION C' EST QUE FAITES VOUS	CAPONDU LE PREMIER MINISTRE A APAISÉ DES CHOSES EN RECEVANT LUI MÊME LES DIRIGEANTS DE JEAN SA NOS SAISSANOS À N APPORTE RIEN DE POSITIF EN FABRICATION SAIT COMMENT EMPÊCHER POSSIBLE DE PAUGE AUX FERMES CES MÊMES PAS ENCORE L ARRI INDUSTRIALISATION C EST QUE FAITES VOUS
PREMIÈRE RÉACTION D' ÉRIC WOERTH IL EST SOULAGÉ DES EXPERTS MANDATÉS PAR BERCY ONT ESTIMÉ QUE LA VENTE DES TERRAINS DE L' HIPPODROME DE COMPIÈGNE EN DEUX MILLE DIX ÉTAIT LÉGALE L' ANCIEN MINISTRE DU BUDGET ÉTAIT SOUPÇONNÉ DE LES AVOIR EN QUELQUE SORTE DE LES AVOIR BRADÉS	PREMIÈRE RÉACTION D UNG VERTILÉ EST SOULAGÉ DES EXPERTS MANDATÉS PAR BERCY ONT ESTIMÉ QUE LA VENTE DES TERRAINS DE L HIPPODROME DE COMPIÈGNE DE MILICE ÉTAIT LÉGALE L ANCIEN MINISTRE DU BUDGET ÉTAIT SOUPÇONNÉ LES AVOIR EN QUELQUE SORTE BRABÉ
C' EST VRAI QUE LES RAPPORTS D' EXPERTISES SONT DE JURIDIQUES SONT DES RAPPORTS QUI ME DONNENT RAISON DONC C' EST ÉVIDEMMENT TOUJOURS UN C' EST D' ABORD UN SOULAGEMENT VOILÀ	C EST VRAI QUE LES RAPPORTS D EXPERTISE SONT DE JURIDIQUES SONT DES RAPPORTS QUI ME DONNENT RAISON DANS C ÉTAIENT VILAMANT TOUJOURS C EST D ABORD UN SOULAGEMENT
C' EST LA CONFIRMATION DE CE QUE JE DIS DEPUIS DEUX ANS CETTE VENTE ÉTAIT LÉGALE ÉVIDEMMENT	C EST LA CONFIRMATION DE CE QUE JE DIS DEPUIS DEUX ANS CETTE VENTE ÉTAIT L ÉGAL ÉVIDEMMENT
ET DANS L' INTÉRÊT DE L' ÉTAT	C EST DANS L INTÉRÊT DE L ÉTAT
CEUX QUI ONT DIT LE CONTRAIRE AVAIENT SOIT UNE ARRIÈRE PENSÉE POLITIQUE TRÈS FORTE SOIT D' AUTRES DOSSIERS À DÉFENDRE DERRIÈRE CELA SOIT TOUT SIMPLEMENT ESSAYAIENT DE ME DE ME NUIRE COMME ÇA ARRIVE MALHEUREUSEMENT TROP SOUVENT DANS LA VIE POLITIQUE QUAND ELLE EST MAL ACCOMPLIE	CE QUI EN DIT LE CONTRAIRE AVAIT SOIT UNE ARRIÈRE PENSÉE POLITIQUE TRÈS FORTE SOIT D AUTRES DOSSIERS À DÉFENDRE DERRIÈRE CELA REÇOIT TOUT SIMPLEMENT ESSAYÉ DE MENUYANT COMME S ARRIVE MALHEUREUSEMENT TROP SOUVENT DANS LA VIE POLITIQUE ANTIMALE ACCOMPLIE
UN MOIS APRÈS LA FUSILLADE QUI A FAIT DEUX MORTS DEVANT LA DISCOTHÈQUE DE LE THÉÂTRO À LILLE LE TIREUR PRÉSUMÉ ET L' HOMME AVEC LEQUEL IL AVAIT PRIS LA FUITE VIENNENT D' ÊTRE PRÉSENTÉS À UN JUGE LILLOIS ILS AVAIENT ÉTÉ ARRÊTÉS EN ESPAGNE	UN MOIS APRÈS LA FUSILLADE QU EST FAIT DEUX MORTS DEVANT LA DISCOTHÈQUE LE TEATROALIT LE TIREUR PRÉSUMÉ ET L HOMME AVEC LEQUEL IL AVAIT PRIS LA FUITE VIENNENT D ÊTRE PRÉSENTÉ UN JUGE LILLOIS ILS AVAIENT ÉTÉ ARRÊTÉS EN ESPAGNE
APRÈS QUELQUES JOURS DE CAVALE C' EST AUJOURD'HUI QUE LES AUTORITÉS ESPAGNOLES LES ONT EXTRADÉS VERS LA FRANCE	APRÈS QUELQUES JOURS DE CAVALE C EST AUJOURD HUI QU LES AUTORITÉS ESPAGNOLES LES ONT EXTRADÉS VERS LA FRANCE
CINQ MILLE NOUVEAUX RÉFUGIÉS DEPUIS TROIS JOURS EN JORDANIE DES CAMPS D' ACCUEIL EN IRAQ DÉSORMAIS L' EXODE DES SYRIENS S' INTENSIFIE LE LIBAN	CINQ MILLE NOUVEAUX RÉFUGIÉS DEPUIS TROIS JOURS EN JORDANIE DES CAMP D ACCUEIL EN IRAK DÉSORMAIS L EXODE DES SYRIENS S INTENSIFIENT LE LIBAN
FAIT ÉVIDEMMENT PARTIE DES PORTES DE SORTIE AVEC UNE PARTICULARITÉ LÀ BAS EN RAISON DE LA FORTE DIASPORA SYRIENNE ON SE RETROUVE AVEC UNE COHABITATION TRÈS TENDUE ENTRE PRO ET ANTI BACHAR	ELLE FAIT ÉVIDEMMENT PARTIE DES PORTES DE SORTIE AVEC UNE PARTICULARITÉ LA BAS EN RAISON DE LA FORTE DIASPORASYRIENNE EN SE TROUVE AVEC UNE COHABITATION TRÈS TENDUE ENTRE PRO ET ANTIBACH
À TRIPOLI DANS LE NORD DU PAYS REPORTAGE DES ENVOYÉS SPÉCIAUX DE BFMTV LAETITIA SOUDY ET QUENTIN BAULIER	TRIPOLI DANS LE PAYS REPORTAGE DES ENVOYÉS SPÉCIAUX D INFANTETÉLÉTHICIENS SOUDIQUES ANTMBOLIERS
BAB EL TABBANEH DANS LE CENTRE DE TRIPOLI ICI PLUSIEURS COMITÉS SE SONT CONSTITUÉS POUR AIDER LES RÉFUGIÉS SYRIENS COMME CETTE FEMME	MABEL TAMAMI DANS LE CENTRE DE TRIPOLI ICI PLUSIEURS COMITÉS SE SONT CONSTITUÉS POUR AIDER LES RÉFUGIÉS SYRIENS COMME CETTE FEMME
LE QUARTIER SOUTIENT EN EFFET LES OPPOSANTS DES SUNNITES COMME EUX QUI VEULENT METTRE FIN A PLUS DE DIX ANS DE RÉPRESSION	LE QUARTIER SOUTIENT EN EFFET LES OPPOSANTS SUISSES UNITES COMMUN QUI VEULENT METTRE FIN À PLUS DE DIX ANS DE RÉPRESSION
LE RÉGIME SYRIEN A ATTEINT UN NIVEAU EXTRÊME DE CRUAUTÉ DE MEURTRE	PHASE LE RÉGIME SYRIEN ADAIN AU NIVEAU EXTRÊME LA CRUAUTÉ FAIT DEMEUREÂME
POUR CETTE RAISON NOUS VOULONS SA FIN	POUR CETTE RAISON NOUS VOULONS SA FORME ALBUM
